A1;A339;A340;A341;A342;A343;A344;A345;A346;A347;A348;A349;A350;A351;A352;A353;A354;A355;A356;A357;A358;A359;A360;A361;A362;A363;A364;A365;A366;A367;A368;A369;A370;A371;A372;A373;A374;A375;A376;A377;A378;A379;A380;A381;A382;A383;A384;A385;A386;A387
220515;Setor subordinado à chefia do executivo;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não possui lei;Não aplicável;Não;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Sim;Não;Não;Sim;Não;Sim;Não;Sim;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não
220520;Setor subordinado a outra secretaria;Não;Não;Não;Sim;Não;Não;Não possui lei;Não aplicável;Não;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não
220525;Setor subordinado a outra secretaria;Sim;Não;Não;Não;Não;Não;Não possui lei;Não aplicável;Não;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não
220527;Não possui estrutura;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não possui lei;Não aplicável;Não;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Sim;Não;Não;Sim;Não;Sim;Não;Sim;Sim;Sim;Sim;Não;Não;Não;Não;Sim;Não;Não
220530;Não possui estrutura;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não possui lei;Não aplicável;Não;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não
220535;Não possui estrutura;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não possui lei;Não aplicável;Não;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Sim
220540;Setor subordinado a outra secretaria;Sim;Não;Não;Não;Não;Não;Não possui lei;Não aplicável;Sim;2006;Não;Sim;Sim;Não;Não;Sim;Não;Não;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não
220545;Não possui estrutura;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não possui lei;Não aplicável;Não;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não
220550;Não possui estrutura;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não possui lei;Não aplicável;Não;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não
220551;Não possui estrutura;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não possui lei;Não aplicável;Não;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não
