A1;A339;A340;A341;A342;A343;A344;A345;A346;A347;A348;A349;A350;A351;A352;A353;A354;A355;A356;A357;A358;A359;A360;A361;A362;A363;A364;A365;A366;A367;A368;A369;A370;A371;A372;A373;A374;A375;A376;A377;A378;A379;A380;A381;A382;A383;A384;A385;A386;A387
292040;Setor subordinado a outra secretaria;Não;Sim;Não;Não;Não;Não;Não possui lei;Não aplicável;Não;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Sim;Não;Sim;Sim;Sim;Sim;Sim;Não;Sim;Sim;Não;Não;Não;Sim;Não;Sim;Não;Não
292045;Setor subordinado a outra secretaria;Sim;Não;Não;Não;Não;Sim;Não possui lei;Não aplicável;Não;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não
292050;Não possui estrutura;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não possui lei;Não aplicável;Não;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não
292060;Não possui estrutura;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não possui lei;Não aplicável;Não;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não
292070;Setor subordinado a outra secretaria;Sim;Não;Não;Não;Não;Não;Não possui lei;Não aplicável;Não;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Sim;Não;Não;Não;Não;Sim;Sim;Sim;Sim;Não;Sim;Não;Não;Não;Não;Não;Não;Não
292080;Setor subordinado a outra secretaria;Sim;Não;Não;Não;Não;Não;Não possui lei;Não aplicável;Não;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não
292090;Não possui estrutura;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não possui lei;Não aplicável;Não;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não
292100;Não possui estrutura;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não possui lei;Não aplicável;Não;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não
292105;Não possui estrutura;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não possui lei;Não aplicável;Não;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não
292110;Setor subordinado a outra secretaria;Sim;Não;Não;Não;Não;Não;Não possui lei;Não aplicável;Não;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não
292120;Não possui estrutura;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não possui lei;Não aplicável;Não;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Sim
292130;Setor subordinado a outra secretaria;Sim;Não;Não;Não;Não;Não;Não possui lei;Não aplicável;Não;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não
292140;Setor subordinado a outra secretaria;Não;Não;Não;Sim;Não;Sim;Não possui lei;Não aplicável;Não;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Sim;Não;Não;Sim;Sim;Sim;Não;Não;Não;Não;Não;Não;SECRETARIA MUNICIPAL DE EDUCAÇÃO;Sim;Não;Não;Não;Não;Sim;Sim;Sim;Sim;Sim;Não;Não;Não;Não;Sim;Sim;Não;Sim
292145;Setor subordinado a outra secretaria;Não;Sim;Não;Sim;Não;Não;Não possui lei;Não aplicável;Não;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Sim;Não;Sim;Sim;Não;Sim;Não;Sim;Sim;Sim;Não;Não;Não;Não;Não;Não;Não;Não
292150;Não possui estrutura;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não possui lei;Não aplicável;Não;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não
292160;Não possui estrutura;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não possui lei;Não aplicável;Não;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não
292170;Não possui estrutura;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não possui lei;Não aplicável;Não;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Sim;Não;Não;Não;Sim;Sim;Sim;Não;Sim;Não;Não;Não;SECRETARIA MUNICIPAL DE DESENVOLVIMENTO E ASSISTÊNCIA SOCIAL;Sim;Sim;Sim;Sim;Sim;Sim;Sim;Sim;Sim;Sim;Não;Sim;Sim;Sim;Sim;Sim;Não;Sim
292180;Setor subordinado a outra secretaria;Sim;Não;Não;Não;Não;Não;Não possui lei;Não aplicável;Não;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não
292190;Não possui estrutura;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Possui lei municipal;Out2010;Não;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Sim;Não;Não;Sim;Sim;Sim;Sim;Não;Sim;Não;Não;Sim;SECRETARIA DE SAÚDE;Não;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não
292200;Não possui estrutura;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não possui lei;Não aplicável;Não;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não
292205;Não possui estrutura;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não possui lei;Não aplicável;Não;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não
292210;Não possui estrutura;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não possui lei;Não aplicável;Não;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não
292220;Setor subordinado a outra secretaria;Sim;Não;Não;Não;Não;Não;Não possui lei;Não aplicável;Não;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não
292225;Setor subordinado à chefia do executivo;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não possui lei;Não aplicável;Não;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Sim;Não;Sim;Sim;Sim;Sim;Sim;Sim;Sim;Sim;Não;Sim;Não;Não;Não;Não;Não;Não
292230;Não possui estrutura;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não possui lei;Não aplicável;Não;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não
292240;Não possui estrutura;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não possui lei;Não aplicável;Não;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não
292250;Não possui estrutura;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não possui lei;Não aplicável;Não;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não
292260;Não possui estrutura;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não possui lei;Não aplicável;Não;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não
292265;Não possui estrutura;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não possui lei;Não aplicável;Sim;2011;Sim;Sim;Sim;Sim;Sim;Não;Não;Não;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Sim;Não;Sim;Sim;Sim;Sim;Sim;Não;Sim;Sim;Não;Não;Sim;Sim;Não;Sim;Não;Não
292270;Não possui estrutura;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não possui lei;Não aplicável;Não;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Sim
292273;Setor subordinado a outra secretaria;Sim;Sim;Não;Não;Não;Sim;Não possui lei;Não aplicável;Não;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Sim;Sim;Sim;Não;Não;Sim;Sim;Sim;Sim;Sim;Sim;Não;Não;Sim;Não;Não;Não;Não
292275;Não possui estrutura;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não possui lei;Não aplicável;Não;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Sim;Não;Não;Não;Não;Sim;Sim;Sim;Sim;Sim;Não;Não;Não;Não;Não;Não;Não;Não
292280;Setor subordinado a outra secretaria;Sim;Não;Não;Não;Não;Não;Não possui lei;Não aplicável;Não;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não
292285;Não possui estrutura;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Possui lei municipal;Ago2009;Sim;2009;Sim;Sim;Sim;Sim;Sim;Sim;Não;Não;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não
292290;Não possui estrutura;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não possui lei;Não aplicável;Não;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não
292300;Não possui estrutura;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não possui lei;Não aplicável;Não;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Sim;Não;Sim;Sim;Não;Sim;Sim;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não
292303;Não possui estrutura;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não possui lei;Não aplicável;Sim;2011;Sim;Sim;Sim;Sim;Sim;Não;Não;Não;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não
292305;Não possui estrutura;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não possui lei;Não aplicável;Não;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não
292310;Não possui estrutura;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não possui lei;Não aplicável;Não;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não
292320;Não possui estrutura;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não possui lei;Não aplicável;Não;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não
292330;Não possui estrutura;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não possui lei;Não aplicável;Não;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não
292335;Não possui estrutura;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não possui lei;Não aplicável;Não;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Sim;Não;Não;Não;Não;Não;Não;Não;Sim;Sim;Não;Não;Não;Não;Não;Não;Não;Não
292340;Não possui estrutura;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não possui lei;Não aplicável;Não;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não
292350;Não possui estrutura;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não possui lei;Não aplicável;Não;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não aplicável;Não
