Cod Municipio;MSAN01;MSAN021;MSAN022;MSAN023;MSAN024;MSAN025;MSAN026;MSAN04;MSAN041;MSAN042A;MSAN042B;MSAN043A;MSAN043B;MSAN05;MSAN051A;MSAN051B;MSAN052;MSAN061;MSAN062;MSAN063;MSAN064;MSAN07;MSAN08;MSAN091;MSAN092;MSAN093;MSAN10;MSAN1011;MSAN1012;MSAN1013;MSAN1014;MSAN1015;MSAN1016;MSAN1017;MSAN1018;MSAN11;MSAN121;MSAN122;MSAN123;MSAN124;MSAN125;MSAN126;MSAN127;MSAN128;MSAN129;MSAN1210;MSAN1211;MSAN13;MSAN14;MSAN15;MSAN16;MSAN171;MSAN17111;MSAN17112;MSAN17113;MSAN172;MSAN17211;MSAN17212;MSAN17213;MSAN173;MSAN17311;MSAN17312;MSAN17313;MSAN174;MSAN17411;MSAN17412;MSAN17413;MSAN175;MSAN17511;MSAN17512;MSAN17513;MSAN176;MSAN17611;MSAN17612;MSAN17613;MSAN177;MSAN17711;MSAN17712;MSAN17713;MSAN178;MSAN17811;MSAN17812;MSAN17813;MSAN179;MSAN17911;MSAN17912;MSAN17913;MSAN1710;MSAN171011;MSAN171012;MSAN171013;MSAN1711;MSAN171111;MSAN171112;MSAN171113;MSAN1712;MSAN171211;MSAN171212;MSAN171213;MSAN1713;MSAN171311;MSAN171312;MSAN171313;MSAN171314;MSAN171321;MSAN171322;MSAN171323;MSAN1714;MSAN171411;MSAN171412;MSAN171413;MSAN171414;MSAN171415;MSAN171421;MSAN171422;MSAN171423;MSAN1715
4117255;Setor subordinado a outra secretaria;Não;Sim;Não;Não;Não;Não;Possui lei;1271;10;2014;-;-;Sim;1271;2014;2/3 sociedade civil  e 1/3 governo;Não;Sim;Não;Não;3;16;-;-;Sim;Sim;Não;Sim;Sim;Sim;Não;Sim;Não;Não;Sim;Não;Não;Sim;Sim;Não;Sim;Sim;Não;Não;Não;Não;secretaria de agricultura;Sim;Não;Não;Sim;Não;Não;Sim;Sim;Não;Não;Sim;Não;-;-;-;Sim;Não;Não;Sim;Não;-;-;-;Não;-;-;-;Não;-;-;-;Não;-;-;-;Não;-;-;-;Sim;Sim;Não;Sim;Sim;Não;Não;Sim;Sim;Não;Não;Sim;Sim;Sim;Sim;Não;Não;Sim;Não;Sim;Sim;Não;Não;Sim;Não;Não;Sim;Não;Sim;Sim
4117271;Não possui estrutura;-;-;-;-;-;-;Não possui;-;-;-;-;-;Sim;492;2011;2/3 sociedade civil  e 1/3 governo;Sim;Não;Não;Não;1;7;-;-;Sim;Sim;Não;Sim;Não;Sim;Não;Sim;Não;Não;Não;-;-;-;-;-;-;-;-;-;-;-;;-;Não;Sim;Sim;Não;Não;Sim;Sim;Não;Não;Sim;Não;-;-;-;Sim;Não;Não;Sim;Não;-;-;-;Sim;Não;Não;Sim;Não;-;-;-;Não;-;-;-;Não;-;-;-;Sim;Sim;Não;Não;Não;-;-;-;Sim;Não;Não;Sim;Sim;Sim;Sim;Não;Não;Sim;Não;Sim;Sim;Sim;Sim;Não;Sim;Sim;Sim;Sim;Sim;Não
4117297;Setor subordinado a outra secretaria;Sim;Não;Não;Não;Não;Não;Não possui;-;-;-;-;-;Sim;835;2011;2/3 sociedade civil  e 1/3 governo;Sim;Sim;Sim;Sim;3;12;Não;Sim;-;Sim;Não;Sim;Sim;Sim;Não;Sim;Não;Não;Sim;Não;Não;Sim;Sim;Não;Sim;Sim;Não;Não;Não;Não;SECRETARIA DE ASSISTÊNCIA SOCIAL CRAS CEMIC;Sim;Sim;Não;Sim;Não;Não;Sim;Sim;Sim;Não;Não;Não;-;-;-;Não;-;-;-;Não;-;-;-;Não;-;-;-;Não;-;-;-;Não;-;-;-;Não;-;-;-;Sim;Não;Sim;Sim;Não;-;-;-;Sim;Não;Sim;Sim;Sim;Sim;Sim;Não;Não;Sim;Não;Sim;Sim;Não;Sim;Sim;Não;Sim;Sim;Não;Não;Não
4117305;Não possui estrutura;-;-;-;-;-;-;Não possui;-;-;-;-;-;Não;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;Não;-;-;-;-;-;-;-;-;-;-;-;;-;Não;Não;Sim;Não;Não;Sim;Sim;Não;Não;Sim;Não;-;-;-;Sim;Não;Não;Sim;Não;-;-;-;Não;-;-;-;Não;-;-;-;Não;-;-;-;Não;-;-;-;Sim;Sim;Não;Sim;Não;-;-;-;Sim;Não;Não;Sim;Sim;Sim;Sim;Não;Não;Sim;Não;Não;Sim;Sim;Sim;Sim;Sim;Sim;Sim;Não;Não;Não
4117404;Setor subordinado a outra secretaria;Não;Não;Não;Não;Não;Sim;Possui lei;906;5;2017;-;-;Sim;129;2014;Paritário;Não;Sim;Não;Não;0;8;-;-;Sim;Não;-;-;-;-;-;-;-;-;Sim;Não;Não;Sim;Sim;Não;Não;Sim;Sim;Não;Não;Não;SECRETARIA DE DESENVOLVIMENTO ECONOMICO;Não;Não;Não;Não;-;-;-;Não;-;-;-;Não;-;-;-;Não;-;-;-;Não;-;-;-;Não;-;-;-;Não;-;-;-;Não;-;-;-;Não;-;-;-;Não;-;-;-;Não;-;-;-;Não;-;-;-;Não;-;-;-;-;-;-;-;Sim;Não;Não;Não;Não;Sim;Sim;Não;Não;Não
4117453;Não possui estrutura;-;-;-;-;-;-;Não possui;-;-;-;-;-;Não;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;Não;-;-;-;-;-;-;-;-;-;-;-;;-;Não;Não;Sim;Sim;Sim;Não;Sim;Sim;Não;Não;Não;-;-;-;Não;-;-;-;Não;-;-;-;Não;-;-;-;Não;-;-;-;Não;-;-;-;Não;-;-;-;Sim;Sim;Não;Sim;Não;-;-;-;Sim;Não;Sim;Não;Sim;Sim;Não;Não;Não;Sim;Não;Não;Sim;Não;Sim;Sim;Sim;Sim;Sim;Não;Sim;Não
4117503;Setor subordinado a outra secretaria;Sim;Sim;Não;Não;Não;Não;Possui lei;2400;10;2014;-;-;Sim;2400;2014;2/3 sociedade civil  e 1/3 governo;Não;Sim;Não;Sim;9;26;Não;Sim;-;Não;-;-;-;-;-;-;-;-;Sim;Não;Não;Sim;Sim;Não;Sim;Sim;Não;Não;Não;Sim;secretaria municipal de agricultura;Não;Não;Não;Sim;Não;Não;Sim;Sim;Não;Não;Sim;Não;-;-;-;Sim;Não;Não;Sim;Não;-;-;-;Não;-;-;-;Não;-;-;-;Não;-;-;-;Não;-;-;-;Não;-;-;-;Não;-;-;-;Não;-;-;-;Sim;Não;Sim;Não;Não;Sim;Não;Sim;Sim;Sim;Não;Sim;Não;Não;Não;Não;Sim;Não
4117602;Setor subordinado a outra secretaria;Sim;Sim;Não;Sim;Não;Sim;Não possui;-;-;-;-;-;Sim;2180;2013;2/3 sociedade civil  e 1/3 governo;Sim;Não;Não;Não;2;24;-;-;Sim;Sim;Não;Sim;Sim;Sim;Não;Sim;Sim;Não;Sim;Não;Não;Sim;Sim;Não;Sim;Sim;Não;Não;Não;Não;não há um responsável;Não;Não;Não;Sim;Não;Não;Sim;Sim;Não;Não;Sim;Sim;Não;Não;Sim;Sim;Não;Não;Sim;Não;-;-;-;Não;-;-;-;Não;-;-;-;Não;-;-;-;Não;-;-;-;Sim;Sim;Não;Sim;Não;-;-;-;Sim;Não;Sim;Sim;Sim;Sim;Sim;Não;Não;Sim;Não;Sim;Sim;Sim;Sim;Não;Não;Sim;Não;Não;Sim;Sim
4117701;Não possui estrutura;-;-;-;-;-;-;Não possui;-;-;-;-;-;Não;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;Não;-;-;-;-;-;-;-;-;-;-;-;;-;Não;Não;Sim;Sim;Não;Sim;Sim;Sim;Não;Sim;Não;-;-;-;Sim;Não;Não;Sim;Não;-;-;-;Não;-;-;-;Não;-;-;-;Não;-;-;-;Não;-;-;-;Sim;Sim;Não;Sim;Não;-;-;-;Sim;Sim;Sim;Sim;Sim;Sim;Não;Não;Não;Sim;Não;Não;Sim;Não;Sim;Não;Não;Não;Sim;Não;Não;Não
4117800;Setor subordinado a outra secretaria;Sim;Sim;Não;Sim;Não;Sim;Possui lei;32;9;2013;-;-;Sim;32;2013;2/3 sociedade civil  e 1/3 governo;Sim;Sim;Não;Não;3;20;Não;Sim;-;Sim;Não;Sim;Sim;Sim;Não;Sim;Não;Não;Sim;Não;Não;Sim;Sim;Não;Sim;Sim;Não;Não;Não;Não;assistencia social;Não;Não;Não;Sim;Não;Não;Sim;Sim;Sim;Não;Sim;Sim;Sim;Não;Não;Sim;Não;Não;Sim;Não;-;-;-;Não;-;-;-;Não;-;-;-;Não;-;-;-;Não;-;-;-;Sim;Sim;Não;Não;Sim;Sim;Não;Sim;Sim;Não;Não;Sim;Sim;Sim;Sim;Não;Não;Sim;Não;Não;Sim;Sim;Sim;Sim;Não;Não;Sim;Não;Sim;Não
